,date of discovery or report,date,city,STATE,source,reported phenomenon other than swastika ,accompanying text,accompanying visual signs,Nazi Reference,media,place,category of place,structure,url_to_jpg,target,target,culprit, ,notes,Actor,Move,Actor,Move,Actor,Move,Actor,Move,combined moves,
https://web.archive.org/save/https://rwuhawksherald.com/2017/04/28/rwus-response-to-anti-semitist-act/,4/25/17,Apr-2017,Bristol,RI,Student Newspaper,antisemitic-graffiti,Sieg-Heil!,,yes,marker,college,college,bathroom,,,,,"At 4 p.m. on Wednesday, April 26, President Donald Farish sent out a message regarding the ""bias-incident."" ""I want to emphasize that such a hateful symbol has no place on the Roger Williams University campus,"" Farish said. ""It is simply antithetical to all that we stand for as a university. RWU has absolutely no tolerance for acts of antiSemitism and any other forms of hate or bias."" ""Incidents such as this impact not only specific groups but also our collective sense of safety and respect. We have chosen to notify the entire campus of this act because public awareness and education regarding such incidents help to create a climate in which all members of a community share the role of identifying and reporting violations."" Along with many students on campus, the University Multifaith Chaplain, Reverend Nancy Soukup, condemned this antisemitic act. She also stated that it is important for moments like these to turn into opportunities to educate people. Hillel, the Center for Jewish Life at RWU, also put out a message responding to the incident and has plans to take action. ""Please join us in our efforts to stop antiSemitism on campus Wednesday, April 26 from during dinner (4-8pm) and Friday, April 28th during lunch and dinner. We will have a table for everyone to sign a pledge which writes 'RWU Stands Against antiSemitism,'"" the statement read. The Hillel at RWU would also like people to know that they are here for anyone who feels affected by this act-of-hate.","the phrase â€œSieg Heil!â€ translates to ""Hail my Leader""",school administration,gathering/protest/vigil/demonstration,religious leaders,letters/statements,religious leaders,gathering/protest/vigil/demonstration,religious leaders,victim support,"gathering/protest/vigil/demonstration, letters/statements, gathering/protest/vigil/demonstration, victim support",
https://web.archive.org/save/http://bronx.news12.com/story/36323979/swastika-found-inside-fordham-university-residence-hall,8/27/17,Aug-2017,Bronx,NY,Local News,symbol-of-hate,,,no,,Fordam college,college,bathroom,,,,,police involvement; public safety sent out an alert saying that a swastika was found in a residency hall bathroom; protest rally of students,,police/sheriff,gathering/protest/vigil/demonstration,school administration,letters/statements,student group,gathering/protest/vigil/demonstration,,,"gathering/protest/vigil/demonstration, letters/statements, gathering/protest/vigil/demonstration",
https://web.archive.org/save/https://themacweekly.com/74995/news/swastikas-found-in-library-college-responds/,10/4/18,Oct-2018,St. Paul,MN,Student Newspaper,,,,,wood,library,college,desk,,,,,"A security official wrote a report on the incident before the office contacted the St. Paul Police Department.
 
 The college then had to decide whether it would make any effort to alert the student body, staff and faculty to the incident. It was not a straightforward process.
 
 “The deliberations included us first being notified of the incident,” Dean of Multicultural Life Marjorie Trueblood said, “and then trying to determine would we publish or wouldn’t we publish, and was an email that was sent last year in the fall… the new protocol?”
 
 The email that Trueblood referred to was sent last Nov. 3 amidst a series of swastikas and other hate-related incidents on campus, and contained a message to students, faculty and staff from President Brian Rosenberg.
 
 “We didn’t have a lot of clarity in trying to figure that piece out,” she continued, “but decided that something had to happen and that students did need to be notified.”
 
 In it, Rosenberg wrote that, going forward, the college would “note and document” all hate markings and include them in publicly available security alerts, but not publish notices of them in the Mac Daily.
 
 “The challenge for us now,” Rosenberg wrote, “is finding the right balance between acknowledging the occurrence of these incidents and not encouraging more of them by giving the perpetrator or perpetrators what they so clearly want: attention.”
 
 In response to that decision and the proliferation of racist speech, political science professor Althea Sircar wrote an open letter published in The Mac Weekly calling for the college to engage in a “rigorous and sustained critique of and opposition to hateful words and actions.” Within a week, it received more than 600 signatures from students, staff and faculty. The Bias Response Team is a newly-formed group to deal with incidents of hate on campus, and consists of Trueblood, Collumbien, Assistant Vice President and Dean of Students DeMethra Bradley, Title IX and Bias Harassment Coordinator Timothy Dunn and College Chaplain and Associate Dean the Rev. Kelly Stone. The group met on Wednesday to talk about its processes and communication style going forward.

“My hope is that the Bias Response Team can formulate a process and a protocol that will be responsive to incidents of bias,” Trueblood said. “We can take into consideration what the email from last year stated, but we can also take into consideration what we’re hearing from our community members and figure out how to proceed.”

Trueblood said that the team, once it figures out what its protocol around hate-incidents will be, “definitely needs” to relay it to the campus at large. “Students are asking for more transparency,” Trueblood said. “That’s something to be mindful of – and I believe that we’re not any safer when we don’t know about these situations.”

Trueblood and Associate Chaplain for Jewish Life Rabbi Emma Kippley-Ogman led Tuesday night’s gathering, which included both testimony on the significance of the swastikas to students as well as discussion of how best to activate opposition to the symbols and other hate speech in the days and weeks ahead.

The meeting drew nearly 60 students and staff members – a significantly larger number than was expected, but still just a fraction of the total population of the college.

After its conclusion, many of those present placed some 200 blue pieces of paper with the words “You Belong Here” on desks throughout the library.",,school administration,gathering/protest/vigil/demonstration,school administration,policy/committee/system creation,religious leaders,gathering/protest/vigil/demonstration,student group,other,"gathering/protest/vigil/demonstration, policy/committee/system creation, gathering/protest/vigil/demonstration, other",
https://web.archive.org/save/https://sacramento.cbslocal.com/2018/10/08/sacramento-city-college-swastikas/,10/8/18,Oct-2018,Sacremento,CA,Local News,hateful-symbol,,,,ink and paper,gym,college,bulletin board,,Black American Community,,,School took down the bulletin board. Students protested on Tuesday after swastikas and messages saying “kill them all” were found on the campus. The school’s black student union led the effort after students say they didn’t learn of the incident until an email from the college president a day after the incident. police involvement,"Less than a week after protests over racist-graffiti left in a bathroom, more hateful symbols were found on the Sacramento City College campus.",school administration,gathering/protest/vigil/demonstration,school administration,letters/statements,student group,gathering/protest/vigil/demonstration,,,"gathering/protest/vigil/demonstration, letters/statements, gathering/protest/vigil/demonstration",Black American Community
https://losangeles.cbslocal.com/2018/12/05/csun-shooting-threat/,12/5/2018,Dec-2018,Amherst,MA,Local News,hate-act,,,,,dorm,college,dorm door,,Jewish Community,,,"check out student's response here and college response to her response which was reported about all over the media; related to freedom of speech; https://www.nepm.org/post/asked-remove-anti-nazi-sign-umass-student-gets-mixed-message#stream/0 UMass has undertaken a number of actions including installing additional surveillance cameras, increasing security patrols in buildings that have been targeted and increasing the Counseling Center outreach in cultural centers and residence halls.

The university has also held floor and building meetings in residence halls to provide support and awareness and  leadership engages in one-on-one and group meetings with impacted students and communities, according to the website. Last Thursday, about 200 University of Massachusetts students, faculty and staff marched through campus demanding the university do more to address the increasing racism and white supremacy on campus.

The rally was organized by the Graduate Employee Organization, which issued a series of demands and asked participants to sign a petition that put them in writing. Demands included that the UMass Amherst Police Department ""abolish the 'Anonymous Tip Line' that targets people of color."" GEO also called on UMass to sever its relationship with Amherst police, which the union said ""encourages highly punitive University measures against students for any number of nonviolent/minor infractions and has somehow seemingly left racist terrorizers free of any meaningful response from UMass.""

Students marched from the Student Union and to the Southwest residential area to pass Melville dorm, the site of several reports of racist-graffiti this semester. They then gathered outside the Whitmore Administration Building to issue their demands.",swastika drawn on Hannaka sign on student door: ,school administration,gathering/protest/vigil/demonstration,school administration,victim support,student group,gathering/protest/vigil/demonstration,community members,gathering/protest/vigil/demonstration,"gathering/protest/vigil/demonstration, victim support, gathering/protest/vigil/demonstration, gathering/protest/vigil/demonstration",Jewish Community
https://web.archive.org/save/https://thetech.com/2017/11/09/standing-up-for-mit,10/25/17,Oct-2017,Cambridge,MA,Student Newspaper,hate-crime,,,no,chalk,college,college,interior wall,,,,,"After Simmons residents reported the swastika to the Simmons House Team and Area Director Kristen Shannon, the Bias Response Team (BRT) conducted an initial assessment and coordinated a response plan. Simmons Head of House John Essigmann informed all residents of the incident in an email the same day. Rabbi Michelle Fisher SM ’97 also emailed the Simmons Jewish residents separately, according to Nelson. In a follow-up email that Ellen Essigmann sent to all residents Oct. 27, she invited residents to a community open house that took place later that day. “A few members of the House Team will be there to listen, to support, and to provide information on where to go to receive additional help,” Essigmann wrote in her email. In response, Vice President and Dean for Student Life Suzy Nelson hosted an event open to the entire MIT community Nov. 3 called Standing up for One MIT. The purpose of the event was to discuss “ways we can ensure our residence halls, classrooms, and community spaces are places that celebrate kindness, understanding, and respect,” according to an email that Nelson sent to the student body.",a lot seems to have been done on campus with an action plan and multiple members: possible focus group,school administration,gathering/protest/vigil/demonstration,religious leaders,letters/statements,school administration,victim support,school administration,gathering/protest/vigil/demonstration,"gathering/protest/vigil/demonstration, letters/statements, victim support, gathering/protest/vigil/demonstration",
https://web.archive.org/save/https://wcfcourier.com/news/local/education/luther-college-president-responds-to-symbols-of-hate/article_6d89174b-26d4-5cf5-9125-29d449b39207.html,3/11/18,Mar-2018,Decorah,IA,Local News,symbols-of-hate,KKK,,,snow,college,college,football field,,,,,"President Paula Carlson said two symbols of hate, racism and antiSemitism — the letters KKK and a swastika — were stomped into the snow on the college’s football field. She said after campus police took photos and investigated, college staff removed the symbols and contacted police. “I condemn cowardly and hateful acts like these. Such acts cause harm and pain to our community members, and they are antithetical to our core Luther values. The Luther community rejects the behaviors and intentions evident in this incident,” she wrote in an open letter posted on social media. Those who have any knowledge of who was involved in the incident are asked to call Luther Campus Safety and Security at (563) 387-2111. Sunday night, Carlson brought people together for a community dialogue on campus.",,school administration,gathering/protest/vigil/demonstration,school administration,clean up/cover up,police/sheriff,other,school administration,gathering/protest/vigil/demonstration,"gathering/protest/vigil/demonstration, clean up/cover up, other, gathering/protest/vigil/demonstration",
https://losangeles.cbslocal.com/2018/12/05/csun-shooting-threat/,12/5/2018,Dec-2018,Amherst,MA,Local News,hate-act,,,,,dorm,college,dorm door,,Jewish Community,,,"check out student's response here and college response to her response which was reported about all over the media; related to freedom of speech; https://www.nepm.org/post/asked-remove-anti-nazi-sign-umass-student-gets-mixed-message#stream/0 UMass has undertaken a number of actions including installing additional surveillance cameras, increasing security patrols in buildings that have been targeted and increasing the Counseling Center outreach in cultural centers and residence halls.

The university has also held floor and building meetings in residence halls to provide support and awareness and  leadership engages in one-on-one and group meetings with impacted students and communities, according to the website. Last Thursday, about 200 University of Massachusetts students, faculty and staff marched through campus demanding the university do more to address the increasing racism and white supremacy on campus.

The rally was organized by the Graduate Employee Organization, which issued a series of demands and asked participants to sign a petition that put them in writing. Demands included that the UMass Amherst Police Department ""abolish the 'Anonymous Tip Line' that targets people of color."" GEO also called on UMass to sever its relationship with Amherst police, which the union said ""encourages highly punitive University measures against students for any number of nonviolent/minor infractions and has somehow seemingly left racist terrorizers free of any meaningful response from UMass.""

Students marched from the Student Union and to the Southwest residential area to pass Melville dorm, the site of several reports of racist-graffiti this semester. They then gathered outside the Whitmore Administration Building to issue their demands.",swastika drawn on Hannaka sign on student door: ,school administration,gathering/protest/vigil/demonstration,school administration,victim support,student group,gathering/protest/vigil/demonstration,community members,gathering/protest/vigil/demonstration,"gathering/protest/vigil/demonstration, victim support, gathering/protest/vigil/demonstration, gathering/protest/vigil/demonstration",Jewish Community
https://turnto10.com/news/local/wheaton-college-investigating-incidents-involving-swastikas,10/27/2019,Oct-1,Norton,MA,Local News,,,,,marker,dorm,college,whiteboard ,,,,,"Letter from president of college: To the campus community,I am writing to share news about a disturbing incident that took place on campus last night. A swastika was found drawn on the white board of a second-floor room door in Pine Hall. This is now thesecond incident in this residence hall over the last two weeks. I want to stress, again, that this runs counter toour values as an institution. The swastika is a symbol of antiSemitism, white supremacy and genocide. Itrepresents a threat to Jewish people, and an affront to every member of the Wheaton community.We are making every effort to identify the person or persons responsible for violating our community’s sense of safety, security and inclusivity. Public Safety officers responded to Pine Hall last night to canvas the building,and they are continuing to investigate both incidents, following up every lead that they receive. At the same time, I want you to know that supporting students remains our highest priority. Residence Life staff met with residents in Pine Hall last evening, and they will continue to offer support and counsel to all students inthe building and on campus.We also plan to step up security in Pine Hall. Public Safety officers will be conducting extra patrols in thebuilding and beyond. You can help. If you have any information that you think might be related to theseincidents, please share it. There are multiple ways to report information: via the department’s non-emergencybusiness line at 508-286-8213, the anonymous tip line at 508-286-5700, or by using the Live Safe App. Youmay also report information to the Dean of Students Office at 508-286-8218 or submit a bias-incident report. A campuswide group of senior leaders is meeting this morning to discuss specific responses to these incidents.During the past two weeks, staff from across the college have been planning and implementing additionalprograms and support for individual students and the broader community. Meanwhile, if you or someone youknow would like support, please know that there are resources on campus for you. These include:The Counseling Center at 508-286-3905, located at 42 Howard Street; After hours Counseling Services at 508-286-3905;The Center for Global Education at 508-286-4950, located at 5 Howard Street;The Marshall Center for Intercultural Learning at 508-286-3532, located on the corner of Howard Streetand E. Main Street;The Center for Social Justice and Community Impact at 508-286-3370, located in the Chapel Base;The Dean of Students Office at 508-286-8218, located in Park Hall; andResidential life staff arealso available and can be reached through the number posted in your hall or viaPublic Safety.Please remember that we are stronger together. The surest way to defeat hatred and intolerance is through our connections to each other and our support for each person’s rights and dignity. I plan to attend tonight’sShabbat dinner and conversation hosted by Wheaton College Hillel. I urge everyone to engage in activities thatexpress our unified commitment to diversity, inclusion and equity. Your participation matters greatly.Dennis HannoPresidentWheaton College            Also, In response to the incidents, the college has been hosting educational events. Last week, there was a solidarity rally on campus.

Wheaton College is holding an event on Friday to discuss the history and meaning of the swastika.

Wheaton College said it reported the incidents to Norton police and to the Anti-Defamation League. It has also increased its patrols.

The college said it's following up every lead it receives and is offering support and counseling to students who need it.",,school administration,gathering/protest/vigil/demonstration,police/sheriff,other,school administration,victim support,school administration,gathering/protest/vigil/demonstration,"gathering/protest/vigil/demonstration, other, victim support, gathering/protest/vigil/demonstration",
https://turnto10.com/news/local/wheaton-college-investigating-incidents-involving-swastikas,11/7/2019,Nov-1,Norton,MA,Local News,bias-incident,,,,marker,dorm,college,whiteboard on dorm door,,Jewish Community,,,"See article for letter from president of college. Also, In response to the incidents, the college has been hosting educational events. Last week, there was a solidarity rally on campus. Wheaton College said it increased patrols on campus following the two bias-incidents.

In an email to students, faculty and staff, Wheaton College President Dennis Hanno said it ""runs counter to our values as an institution.""

Hanno described the swastika as a symbol of antiSemitism, white supremacy and genocide.

Wheaton College is holding an event on Friday to discuss the history and meaning of the swastika.

Wheaton College said it reported the incidents to Norton police and to the Anti-Defamation League.

The college said it's following up every lead it receives and is offering support and counseling to students who need it.",one of students who lives in dorm room is Jewish ,school administration,gathering/protest/vigil/demonstration,ADL,other,police/sheriff,other,school administration,gathering/protest/vigil/demonstration,"gathering/protest/vigil/demonstration, other, other, gathering/protest/vigil/demonstration",Jewish Community
http://www.centralmaine.com/2016/12/13/waterville-city-leaders-jewish-congregation-react-strongly-to-painting-of-swastika-on-rock-at-recreation-area/,12/9/16,Dec-2016,Waterville,ME,Local News,offensive-markings,,star,No,spray paint,rec center,community center,rock,http://multifiles.pressherald.com/uploads/sites/2/2016/12/674865_985110-20161210-graffiti-00.jpg,,,,Beth Israel Congregation plans to hold an interfaith service of healing.,A swastika in lipstick was painted on a windshield in an apartment complex near the park.,religious leaders,gathering/protest/vigil/demonstration,,,,,,,gathering/protest/vigil/demonstration,
https://www.msn.com/en-us/news/world/wassmuth-center-post-nazi-stickers-found-at-anne-frank-memorial/ar-BB1bMogo,12/7/2020,Dec-2020,Boise,ID,National News,display-of-hate ,We-are-everywhere,,,ink and vinyl,center for human rights,community center,memorial,https://www.gannett-cdn.com/presto/2020/12/10/USAT/0b84a3b4-4844-47b1-9b21-df2cbf3f2696-memorial.jpg?width=300&height=534&fit=crop&format=pjpg&auto=webp   and here:  https://www.msn.com/en-us/news/world/wassmuth-center-post-nazi-stickers-found-at-anne-frank-memorial/ar-BB1bMogo?fullscreen=true#image=1,Jewish Community,,,"Director of Center asked to hold vigil; fundraising drives started, ADL contacted. Director said: The damage is not only to the memorial itself, Prinzig issued statement on FB: https://www.facebook.com/wassmuthcenter/posts/3823686357653316  The Boise community has rallied behind the Wassmuth Center, with visitors leaving flowers and signs of encouragement on the memorial. The center announced that amid the outpouring of support it will be launching a fundraising campaign in order to buy a new security system for the memorial. ""This is shocking and disturbing, and we know it does not reflect the values of our community,"" Boise mayor Lauren McLean said in a statement. ""The vandalism will be investigated, and the people responsible will be held accountable.""  ""The Anne Frank Memorial was vandalized by racist criminals. Nine stickers with swastika symbols were placed throughout the memorial. This is shocking and disturbing, and we know it does not reflect the values of our community. The vandalism will be investigated, and the people responsible will be held accountable.

We have reached out to Wassmuth Center for Human Rights and the local synagogues and are working with Boise PD and community stakeholders to address the Nazi graffiti.

We are working with stakeholders to ensure every community member feels safe in the months and years to come. Racism and antisemitism are not welcome in Boise and must be addressed. We will work together as a community to make sure it is.

This is not normal—the rhetoric we've seen over the past days and months has no place in our community. Bad actors who use racist and violent rhetoric are not welcome in this community. We are committed to an open and welcoming city for everyone, and leaders from the business, cultural, and religious community stand with us. We will collaborate closely with all stakeholders in our community to protect these values.

These actions are upsetting. This has been incredibly difficult, and we understand people are hurting. Our hearts are with everyone affected and everyone facing anxiety, loss, uncertainty and injustice. We will continue to work with all of you to make Boise a better place for everyone to live.

Events like these attract attention, but we know through Boise residents' everyday actions that this is a place of kindness and openness. It is part of Boise's identity, and if we work together, the rest of the state and country will see the real Boise.""","stickers stuck to Anne Frank memorial as well as photo of Bill Wassmuth, the center's namesake. He was a Catholic priest who left the priesthood to focus on fighting white supremacists and the Aryan Nations, a neo-Nazi group that, at the time, was based in northern Idaho.   Director of Center quoted in article saying: Alsosaid, but to the ""psyche of the community.""


This is an ""important moment in really beginning to question ourselves: Who are we and what (are we) doing to fight injustice?"" he said.

Prinzig echoed the words of Eleanor Roosevelt, which he said are etched into the memorial.

“Where, after all, do human rights begin? In small places, close to home – so close and so small that they cannot be seen on any maps of the world,"" he said.",business owner,gathering/protest/vigil/demonstration,police/sheriff,other,community members,gathering/protest/vigil/demonstration,mayor/council member,letters/statements,"gathering/protest/vigil/demonstration, other, gathering/protest/vigil/demonstration, letters/statements",Jewish Community
http://thejewishchronicle.net/view/full_story/27199001/article-Catholic-students-learn-that-hate-can-hurt,5/20/16,May-2016,Oakland,CA,Local News,,,German Flag,No,"marker, cloth, and skin",high school,K-12,"shirt, human body",,,,teenage girl,"girls met with Rabbis and then In a joint statement issued by Bishop David A. Zubik, Gibson, and Rabbi Aaron Bisno, senior rabbi of Rodef Shalom Congregation, the three faith leaders condemned the incident and expressed ""solidarity with anyone who may have seen this image, and our sorrow for the pain it has caused."" ""This is a reminder that we can never become complacent,"" the statement continued. ""A swastika can never be a joke. It represents hatred and genocide. It represents the evil that human beings can do to one another. The swastika is an image that can only be condemned. There is no such thing as an innocent bystander when this image is displayed. This incident makes it clear that we must be vigilant and hold ourselves and each other accountable for the use of words or symbols that demean human dignity. May this incident be an opportunity for all of us to recommit ourselves to pray and overcome prejudice.â€
 
 â€œThey need to understand that antiSemitism is a very real and growing phenomenon,"" Sayles said.","This is not a cluster but two separate incidents that resulted in the intervention. It was in conjunction with another image that was circulated on snapchat with a girl and ""chink"" written on her forehead. This incident involved a girl with a German flag painted on her forehead and a swastika drawn on her shirt.",religious leaders,letters/statements,religious leaders,gathering/protest/vigil/demonstration,,,,,"letters/statements, gathering/protest/vigil/demonstration",
https://web.archive.org/save/https://www.timesofisrael.com/swastikas-drawn-in-classroom-of-boston-area-jewish-teacher/,12/12/17,Dec-2017,Andover,MA,National News,"offensive-graffiti, hate-crime",,,no,marker,high school,K-12,desk,,Jewish Community,,,"The school district has contacted the Anti-Defamation League to assist in conducting faculty and staff training on how to deal with the incident, according to the statement, which also noted that school officials would reach out to local religious and civic leaders to hold a public forum at the school early in the new year.",Jewish teacher; Spree: three swastikas on a desk,school administration,policy/committee/system creation,school administration,gathering/protest/vigil/demonstration,,,,,"policy/committee/system creation, gathering/protest/vigil/demonstration",
https://web.archive.org/save/https://www.nbcboston.com/news/local/swastika-graffiti-found-inside-reading-memorial-high-school/134235/,10/12/18,Oct-2018,Reading,MA,Local News,"graffiti, hateful-image",,,,pencil,high school science lab,K-12,desk,,,,,"The hateful images were reported to school leadership by a teacher after a student found two swastikas drawn in pencil on a science lab bench. The school documented the images and reported the incident to the Superintendent, Reading police and the Facilities Department. In a letter to school families and staff, Reading Memorial High School Principal Kathleen Boynton said an investigation was ongoing, but it was unclear when exactly the images were drawn. ""Unfortunately, we continue to have these graffiti related incidents in our schools and in our community,"" Boynton wrote in the letter. ""The swastika symbolizes hate and antiSemitism and there is no place for these types of hateful actions or behaviors in our schools or in the greater Reading community.""

 in response to this event and other swastika incidents, antisemitic rally later held in reading, which you can read about here: https://www.bostonglobe.com/metro/2018/10/21/reading-residents-rally-against-antiSemitism-their-town-and-solidarity-with-jewish-neighbors/Hf07uR3E0aTMGLsgsAYc0J/story.html",,school administration,letters/statements,community members,gathering/protest/vigil/demonstration,,,,,"letters/statements, gathering/protest/vigil/demonstration",
https://web.archive.org/save/https://www.oakpark.com/News/Articles/11-2-2018/Oak-Park-police-investigating-racist-graffiti-at-OPRF-/,11/2/2018,Nov-2018,Oakpark,IL,Online Magazine,racist-graffiti,F**k-Dancing-N*****-Anthony-Clark,,,marker,high school,K-12,shed,https://media4.oakpark.com/Images/2/2/60566/2/1/2_2_60566_2_1_690x520.jpg,Black American Community,,,"Clark wrote that while he appreciates the sympathy, ""I don't need [it],"" before adding, ""I don't need apologies, I don't need for you to express your anger & shock online. I need you to understand that acts of hate like this & worse than this are part of the fabrics of even the most 'progressive,' commUNITYs. I need you to understand how to work to be an ally in verb form, learning to get behind and empower those oppressed. I need you to realize that Trump didn't create these issues, Russia isn't responsible for bigotry & that systemic racism exists and is often supported rather Democrat or Republican is in charge. This isn't about civility or balance, as balance is impossible when individuals have never been on equal playing fields."" School officials are planning an event called Community Conversation about hate-crimes in Our Community: Coming Together for Change, scheduled for Wednesday, Nov. 7, 6 to 8 p.m., inside of the high school's South Cafeteria. The event will be co-sponsored by Suburban Unity Alliance and OPRF.",Anthony Clark is a teacher and community activist.,school administration,letters/statements,community members,gathering/protest/vigil/demonstration,,,,,"letters/statements, gathering/protest/vigil/demonstration",
https://web.archive.org/save/https://blockclubchicago.org/2018/11/08/after-swastika-drawn-on-jewish-students-locker-lincoln-park-parents-come-together-we-are-living-in-very-strange-times/,11/5/2018,Nov-2018,Chicago,IL,Local News,,,,,marker,student locker,K-12,locker,,Jewish Community,,,"Parents, administrators and Chicago Public Schools officials gathered at Oscar Mayer Magnet School in Lincoln Park Thursday after a swastika was drawn on a Jewish student’s locker. The meeting came less than 24 hours after parents received a letter from school officials telling them that racist bullying was on the rise at the school, 2250 N. Clifton Ave., and that they had contacted the Anti-Defamation League to help address the problem. Many of the parents questioned why they were not immediately contacted following the swastika incident, which happened Monday. Some of them learned about the incident through media reports, which they said was unacceptable.

But school administrators said they were in a difficult position. They wanted to first make sure the incident was isolated and had not happened on other students’ lockers. They stressed it was important to be decisive and intentional. “We will be working with [Mayer] to try to establish some sort of comprehensive plan or training for education,” Trubowitz said. “They’re really thinking about using this as an opportunity to not only instruct the student but the family members, administrators about the importance of addressing hate rhetoric, hate speech.”","one person recommended that day next week, all the students and staff wear the Star of David armbands like they did in Pittsburgh; not sure what happened; see note to pareents linked to in article",school administration,letters/statements,community members,gathering/protest/vigil/demonstration,school administration,policy/committee/system creation,,,"letters/statements, gathering/protest/vigil/demonstration, policy/committee/system creation",
